證券代號,證券名稱,自營商買賣超股數
00673R,期元大S&P原油反1,44644000
00637L,元大滬深300正2  ,30025728
00632R,元大台灣50反1   ,16083181
00924,復華S&P500成長  ,11976905
00650L,復華香港正2     ,1999230
00633L,富邦上証正2     ,1841894
00664R,國泰臺灣加權反1 ,1786485
2352,佳世達          ,1479801
2303,聯電            ,1376127
00665L,富邦恒生國企正2 ,1370153
00655L,國泰中國A50正2  ,1264134
2618,長榮航          ,1254798
3037,欣興            ,1195223
00882,中信中國高股息  ,1155495
2408,南亞科          ,967704
00753L,中信中國50正2   ,839240
2881,富邦金          ,745695
2882,國泰金          ,660815
1605,華新            ,635428
00674R,期元大S&P黃金反1,629000
00713,元大台灣高息低波,-1172718
00893,國泰智能電動車  ,-1205813
00885,富邦越南        ,-1325156
00902,中信電池及儲能  ,-1455746
3481,群創            ,-1544082
0056,元大高股息      ,-1553862
006208,富邦台50        ,-1620502
00923,群益台灣ESG低碳 ,-1646203
00830,國泰費城半導體  ,-2182438
00642U,期元大S&P石油   ,-2377000
00900,富邦特選高股息30,-3153199
00712,復華富時不動產  ,-3395808
00688L,國泰20年美債正2 ,-3463000
00706L,期元大S&P日圓正2,-3862000
00648R,元大S&P500反1   ,-4794000
00669R,國泰美國道瓊反1 ,-4865350
00878,國泰永續高股息  ,-11272265
00671R,富邦NASDAQ反1   ,-14776010
00715L,期街口布蘭特正2 ,-21877000
00680L,元大美債20正2   ,-25727739
