證券代號,證券名稱,外陸資買賣超股數(不含外資自營商)
3037,欣興            ,29511184
00637L,元大滬深300正2  ,15957000
2353,宏碁            ,15176144
2801,彰銀            ,12151377
00712,復華富時不動產  ,10125000
1605,華新            ,9198555
2891,中信金          ,6702172
2881,富邦金          ,6447503
2317,鴻海            ,6247230
2834,臺企銀          ,5913000
2887,台新金          ,5829443
00665L,富邦恒生國企正2 ,4658000
00753L,中信中國50正2   ,4153000
2408,南亞科          ,3990916
2882,國泰金          ,3890468
00632R,元大台灣50反1   ,3820000
2352,佳世達          ,3799000
2888,新光金          ,3488021
2360,致茂            ,3102500
2618,長榮航          ,3085309
4968,立積            ,-1861412
2609,陽明            ,-1889255
9904,寶成            ,-1930996
2002,中鋼            ,-2006192
2890,永豐金          ,-2110491
6269,台郡            ,-2112044
00893,國泰智能電動車  ,-2344000
0050,元大台灣50      ,-2734150
2402,毅嘉            ,-2753000
6116,彩晶            ,-3258000
2603,長榮            ,-3431421
2337,旺宏            ,-4383312
1101,台泥            ,-4790000
3704,合勤控          ,-5428874
6770,力積電          ,-6123352
2880,華南金          ,-6894916
2303,聯電            ,-7929168
2344,華邦電          ,-13463000
3481,群創            ,-53457246
2409,友達            ,-57137504
